text,label
"Scientists confirm water exists on Mars after years of orbital research and rover sample analysis.",REAL
"Government officially announces new infrastructure spending bill passed by both houses of congress.",REAL
"Local hospital reports record number of flu vaccinations administered this winter season.",REAL
"Central bank raises interest rates by quarter point citing persistent inflation pressures.",REAL
"University researchers publish peer reviewed study on renewable energy storage efficiency.",REAL
"Celebrity secretly an alien reptilian confirmed by anonymous insider with no evidence whatsoever.",FAKE
"Drinking bleach cures all diseases instantly according to viral social media post.",FAKE
"Moon landing was filmed in a basement studio say conspiracy theorists with zero proof.",FAKE
"Miracle pill makes you lose fifty pounds overnight doctors hate this one trick.",FAKE
"Secret society controls world weather using hidden satellites claims unverified blog.",FAKE
"5G towers cause coronavirus according to debunked unscientific viral rumor.",FAKE
"Local city council approves new public library funding after community vote.",REAL
"NASA successfully launches new satellite to study climate change patterns from orbit.",REAL
"Aliens secretly replaced world leaders with clones according to anonymous tipster.",FAKE
"Stock market closes higher today after positive earnings reports from major tech companies.",REAL
"Eating chocolate every day guarantees you will never get sick ever again say fake doctors.",FAKE
"New study links regular exercise to improved cardiovascular health in adults.",REAL
"Time traveler from 2050 warns of upcoming disaster in viral unverified video.",FAKE
"School district announces new STEM program funding for underprivileged students.",REAL
"Vaccines contain microchips to track citizens claims baseless internet rumor.",FAKE
